,author,date,link,views
4 Things I Learned from the Worst Online Dating Profile Ever,Alli Reed,2014-01-04 00:00:00,http://www.cracked.com/blog/4-things-i-learned-from-worst-online-dating-profile-ever/,5012689
5 Fantasy Characters That Need to Be Rebooted,Felix Clay,2014-01-04 00:00:00,http://www.cracked.com/blog/5-fantasy-characters-that-need-to-be-rebooted/,897812
5 Nobodies Who Stumbled into Wars and Kicked Everyone's Ass,"Evan V. Symon , Matthew Moffitt",2014-01-05 00:00:00,http://www.cracked.com/article_20767_5-nobodies-who-stumbled-into-wars-kicked-everyones-ass.html,1161722
5 Reasons Doing Movie Stunts Is Harder Than You Think,"Anonymous, J.F. Sargent",2014-01-05 00:00:00,http://www.cracked.com/personal-experiences-1252-5-reasons-doing-movie-stunts-harder-than-you-think.html,888537
25 Movie Adaptations Too Awesome to Exist,CRACKED Readers,2014-01-05 00:00:00,http://www.cracked.com/photoplasty_751_25-movie-adaptations-too-awesome-to-exist/,428964
5 Sentences You Never Have to Finish,Gladstone,2014-01-05 00:00:00,http://www.cracked.com/blog/5-sentences-you-never-have-to-finish/,748755
Pop Culture Expiration Dates: Why Music and Movies Go Bad,,2014-01-06 00:00:00,http://www.cracked.com/podcast/pop-culture-expiration-dates-why-music-movies-go-bad,0
5 Things I Learned as a Cop (That Movies Won't Show You),"Robert Evans, Anonymous",2014-01-06 00:00:00,http://www.cracked.com/personal-experiences-1268-5-things-i-learned-as-cop-that-movies-wont-show-you.html,1842442
5 Movie Happy Endings That Are About to Go Horribly Wrong,"Jacopo della Quercia ,  Rohan Ramakrishnan",2014-01-06 00:00:00,http://www.cracked.com/article_20753_5-movie-happy-endings-that-are-about-to-go-horribly-wrong.html,1118697
The 20 Most Amazing People You've Never Heard Of,CRACKED Readers,2014-01-06 00:00:00,http://www.cracked.com/photoplasty_753_the-20-most-amazing-people-youve-never-heard-of/,1074573
Store Update: Don't Spend the New Year in Old Clothes,CRACKED Staff,2014-01-07 00:00:00,http://www.cracked.com/blog/store-update-dont-spend-new-year-in-old-clothes/,37563
6 Fan Ideas So Good They Were Adopted by the Creators,Amanda Mannen,2014-01-07 00:00:00,http://www.cracked.com/article_20793_6-fan-ideas-so-good-they-were-adopted-by-creators.html,1879635
4 Hilarious Scenes Left Out of Comic Book Movies,Maxwell Yezpitelok,2014-01-07 00:00:00,http://www.cracked.com/blog/4-hilarious-scenes-left-out-comic-book-movies/,866920
4 Weird Side Effects of Learning How to Write,Chris Bucholz,2014-01-07 00:00:00,http://www.cracked.com/blog/4-weird-side-effects-learning-how-to-write/,561848
6 Obnoxious Behaviors That Make You Better at Your Job,J.F. Sargent,2014-01-07 00:00:00,http://www.cracked.com/blog/6-obnoxious-behaviors-that-make-you-better-at-your-job/,760904
14 Images That Powerful People Don't Want You to See,CRACKED Readers,2014-01-08 00:00:00,http://www.cracked.com/photoplasty_755_14-images-that-powerful-people-dont-want-you-to-see/,1273145
5 Anti-Piracy Strategies That Screwed Over Regular Gamers,Andrew Heaton,2014-01-08 00:00:00,http://www.cracked.com/article_20783_5-anti-piracy-strategies-that-screwed-over-regular-gamers.html,1123574
5 Medical Procedures Worthy of Frankenstein,"Anita Serwacki, Chris Pauls",2014-01-08 00:00:00,http://www.cracked.com/article_20851_5-medical-procedures-worthy-frankenstein.html,107173
